Albania, Tirane, 41.18, 19.49
Andorra, Andorra la Vella, 42.31, 01.32
Armenia, Yerevan, 40.10, 44.31
Austria, Vienna, 48.12, 16.22
Azerbaijan, Baku, 40.29, 49.56
Belarus, Minsk, 53.52, 27.30
Belgium, Brussels, 50.51, 04.21
Bosnia and Herzegovina, Sarajevo, 43.52, 18.26
Bulgaria, Sofia, 42.45, 23.20
Croatia, Zagreb, 45.50, 15.58
Cyprus, icosia, 35.10, 33.25
Czech Republic, Prague, 50.05, 14.22
Denmark,  Copenhagen, 55.41, 12.34
Estonia, Tallinn, 59.22, 24.48
Finland, Helsinki, 60.15, 25.03
France, Paris, 48.50, 02.20
Georgia, T'bilisi, 41.43, 44.50
Germany, Berlin, 52.30, 13.25
Greece, Athens, 37.58, 23.46
Hungary, Budapest, 47.29, 19.05
Iceland, Reykjavik, 64.10, -21.57
Ireland, Dublin, 53.21, -06.15
Italy, Rome, 41.54, 12.29
Kazakhstan, Astana, 51.10, 71.30
Latvia, Riga, 56.53, 24.08
Liechtenstein, Vaduz, 47.08, 09.31
Lithuania, Vilnius, 54.38, 25.19
Luxembourg, Luxembourg, 49.37, 06.09
Macedonia (Former Yugoslav Republic), Skopje, 42.01, 21.26
Malta, Valletta, 35.54, 14.31
Moldova, Republic of, Chisinau, 47.02, 28.50
Montenegro, Podgorica, 42.47 19.28
etherlands, The Hague, 2.23, 04.54
orway, Oslo, 59.55, 10.45
Poland, arsaw, 52.13, 21.00
Portugal, Lisbon, 38.42, -09.10
Romania, Bucharest, 44.27, 26.10
San Marino, San Marino, 43.55, 12.30
Serbia, Belgrade, 44.48 20.28
Slovakia, Bratislava, 48.10, 17.07
Slovenia, Ljubljana, 46.04, 14.33
Spain, Madrid, 40.25, -03.45
Sweden, Stockholm, 59.20, 18.03
Switzerland, Bern, 46.57, 07.28
Turkey, Ankara, 39.57, 32.54
Ukraine, Kiev, 50.30, 30.28
Great Britain, London,51.36, -00.05
